Organization Name,Direct Cost,Indirect Cost,Funding
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2029597,750275,2779872
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,306212,194825,501037
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,755327,137430,892757
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,150000,70000,220000
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,188232,81293,269525
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,342340,24667,321857
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,49214,,49214
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,42232,,42232
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,240075,149105,389180
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,83628,6690,90318
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,238838,129491,368329
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,50000,28000,78000
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,366622,225727,592349
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,147729,,147729
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,216000,126908,342908
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,436201,147270,583471
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,183350,101402,284752
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,313934,167054,480988
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,55670,,55670
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,850640,42451,568125
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,228000,138734,366734
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,191070,106590,297660
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,117875,46579,164454
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,206532,117042,323574
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,289901,162345,452246
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,982750,87652,1070402
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,52190,,52190
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,200000,99720,299720
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,237500,154507,392007
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,49214,,49214
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1447320,754499,2201819
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,500642,151593,652235
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,24250,14671,38921
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,207500,98856,306356
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,55670,,55670
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,297508,179992,477500
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,250001,132721,382722
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,193000,97233,290233
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,255380,140008,395388
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,173628,8770,122233
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,482625,328185,810810
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,193000,130275,323275
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,146680,79217,225897
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,428459,89522,517981
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,83333,6667,90000
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,281977,167059,449036
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,299209,160497,459706
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,637886,388888,1026774
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,53942,,53942
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,425285,97344,522629
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,259671,141633,401304
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,322604,180658,503262
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,83333,6667,90000
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,225000,114947,339947
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,169110,66249,235359
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,217125,96575,313700
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,212660,10613,193683
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,372942,130194,503136
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,237500,160313,397813
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,42232,,42232
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,47114,,47114
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,231131,145870,377001
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,225000,103896,328896
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,250000,140000,390000
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,539278,196629,735907
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,52190,,52190
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,265799,71823,337622
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,10000,,10000
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,485000,293425,778425
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,189199,128655,317854
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,250000,127953,377953
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,190000,93311,283311
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,237600,148031,385631
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,188000,112750,300750
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,192000,116160,308160
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,53942,,53942
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,92436,7395,99831
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,237600,157333,394933
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,42232,,42232
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,79176,6334,85510
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,170928,8554,166764
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,237600,148424,386024
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,52190,,52190
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,406384,232898,639282
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,170137,109921,280058
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,214954,108229,323183
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,50000,28000,78000
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,433742,184190,617932
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,121882,73739,195621
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1560588,897919,2246380
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,156995,80246,237241
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,543209,114698,657907
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,299225,84911,384136
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,285045,154822,439867
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,153587,64306,217893
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,240000,145200,385200
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,324239,196165,520404
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,52190,,52190
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,53942,,53942
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,244305,164906,409211
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,253565,95340,348905
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,186750,94707,281457
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,170279,103921,274200
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,42232,,42232
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,188175,89979,278154
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1135628,510487,1550297
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,225482,153328,378810
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,390425,128205,518630
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,237488,161491,398979
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,230324,149611,379935
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,52190,,52190
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,150000,61600,211600
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,240000,127253,367253
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,197825,109006,306831
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1569018,644460,2213478
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,214952,146167,361119
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,401176,183599,584775
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,47114,,47114
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,141000,83599,224599
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,55670,,55670
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,100000,60000,160000
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,183485,110278,293763
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,212500,98971,311471
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,981240,661108,1642348
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,190000,92910,282910
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,167125,88306,255431
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,170528,8522,156409
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,102181,8174,110355
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,201981,88749,290730
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,202872,73377,276249
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,505800,175857,681657
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,144750,87574,232324
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,303049,199423,502472
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,167186,94446,261632
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,413499,172832,586331
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,201875,111138,313013
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,395000,139358,534358
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,49214,,49214
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,205200,119347,324547
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,193000,114186,307186
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,414958,282171,697129
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,336968,203866,540834
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,250859,164333,415192
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,236363,159545,395908
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,53942,,53942
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,250000,140000,390000
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,49214,,49214
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,211094,142488,353582
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,237500,152186,389686
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,365959,157521,523480
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,316678,85163,401841
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,52190,,52190
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,217125,93081,310206
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,542067,181683,723750
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,228000,142427,370427
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,168875,85778,254653
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,83333,6667,90000
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,447148,171530,618678
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,49214,,49214
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,211094,142488,353582
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,49214,,49214
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,185606,125284,310890
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,218750,122500,341250
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,42232,,42232
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,225719,153489,379208
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,329000,150304,479304
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,231537,156287,387824
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,337369,96719,434088
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,163831,91745,255576
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1743812,87025,1277683
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,217651,106276,323927
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,42232,,42232
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,81675,43828,125503
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,425320,21226,446546
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,49214,,49214
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,52190,,52190
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,53942,,53942
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,53942,,53942
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,186293,114281,300574
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,420774,189106,609880
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,835903,372440,1208343
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,42232,,42232
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,97587,54649,152236
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,235620,160222,395842
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,197158,109528,306686
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,705193,208019,913212
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1624516,725482,2349998
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,203943,113389,317332
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,503151,244339,747490
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,83333,6667,90000
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,398266,124070,522336
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,201875,87076,288951
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,278505,164922,443427
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,250000,140000,390000
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,190000,110929,300929
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,49214,,49214
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,249102,150707,399809
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,49214,,49214
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,847949,505816,1353765
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,52190,,52190
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,237600,161568,399168
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,98919,7914,106833
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,417934,173772,591706
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,150000,84000,234000
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,222698,122749,345447
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,242500,124811,367311
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,288440,110745,399185
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,202500,113400,315900
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,49214,,49214
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,49214,,49214
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,122500,74113,196613
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,485158,311301,796459
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,154400,83272,237672
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,144000,87120,231120
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,283954,98233,382187
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,369830,207105,576935
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,49214,,49214
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,281407,169466,450873
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,102225,61846,164071
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,237600,161568,399168
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,242500,137836,380336
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2182383,1421415,3603798
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,614056,40164,558913
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,172928,1664,174592
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,390245,109991,500236
"MASSTECH, INC.",,,150000
"MATERIA, INC.",,,543953
"MATERIALS DEVELOPMENT, INC.",,,138932
"MATHEMATICA POLICY RESEARCH, INC.",552732,56038,608770
MATTEK CORPORATION,160340,58059,218399
MATTEK CORPORATION,,,181578
MATTEK CORPORATION,,,483227
MATTEK CORPORATION,,,189035
"MAX BIOPHARMA, INC.",,,147188
MAX PLANCK FLORIDA CORPORATION,236425,212783,449208
MAX PLANCK FLORIDA CORPORATION,240000,216000,456000
MAX PLANCK FLORIDA CORPORATION,218750,196875,415625
MAX PLANCK FLORIDA CORPORATION,228000,205200,433200
MAX PLANCK FLORIDA CORPORATION,150000,135000,285000
MAX PLANCK FLORIDA CORPORATION,52190,,52190
MAX PLANCK FLORIDA CORPORATION,250000,225000,475000
MAX PLANCK FLORIDA CORPORATION,55670,,55670
MAX PLANCK INST/SOCIAL LAW/SOCIAL POLICY,,,1218933
MAX PLANCK INSTITUTE OF BIOCHEMISTRY,46092,,46092
MAX PLANCK INSTITUTE OF BIOCHEMISTRY,7850,,7850
"MAXWELL SENSORS, INC.",,,492274
MAYO CLINIC  JACKSONVILLE,211094,116102,327196
MAYO CLINIC  JACKSONVILLE,211094,119268,330362
MAYO CLINIC  JACKSONVILLE,448101,63805,511906
MAYO CLINIC  JACKSONVILLE,216194,122150,338344
MAYO CLINIC  JACKSONVILLE,167186,88609,255795
MAYO CLINIC  JACKSONVILLE,125000,70625,195625
MAYO CLINIC  JACKSONVILLE,125600,10048,135648
MAYO CLINIC  JACKSONVILLE,120625,66344,186969
MAYO CLINIC  JACKSONVILLE,150000,84750,234750
MAYO CLINIC  JACKSONVILLE,218750,123594,342344
MAYO CLINIC  JACKSONVILLE,211094,116102,327196
MAYO CLINIC  JACKSONVILLE,186208,102414,288622
MAYO CLINIC  JACKSONVILLE,193725,109455,303180
MAYO CLINIC  JACKSONVILLE,239392,127335,366727
MAYO CLINIC  JACKSONVILLE,267665,90398,358063
MAYO CLINIC  JACKSONVILLE,174353,95894,270247
MAYO CLINIC  JACKSONVILLE,158588,83259,241847
MAYO CLINIC  JACKSONVILLE,144747,74214,218961
MAYO CLINIC  JACKSONVILLE,892831,502821,1395652
MAYO CLINIC  JACKSONVILLE,195050,107278,302328
MAYO CLINIC  JACKSONVILLE,206872,116883,323755
MAYO CLINIC  JACKSONVILLE,225769,124173,349942
MAYO CLINIC  JACKSONVILLE,218750,123594,342344
MAYO CLINIC  JACKSONVILLE,40932,,40932
MAYO CLINIC  JACKSONVILLE,186208,98690,284898
MAYO CLINIC  JACKSONVILLE,197824,95838,293662
MAYO CLINIC  JACKSONVILLE,189199,100275,289474
MAYO CLINIC  JACKSONVILLE,228151,87572,315723
MAYO CLINIC  JACKSONVILLE,250000,141250,391250
MAYO CLINIC  JACKSONVILLE,149558,84500,234058
MAYO CLINIC  JACKSONVILLE,205000,115825,320825
MAYO CLINIC  JACKSONVILLE,317572,168300,485872
MAYO CLINIC ARIZONA,198235,130835,329070
MAYO CLINIC ARIZONA,272851,174178,447029
MAYO CLINIC ARIZONA,316995,202877,519872
MAYO CLINIC ARIZONA,189199,113519,302718
MAYO CLINIC ARIZONA,210916,90121,301037
MAYO CLINIC ARIZONA,195050,124832,319882
MAYO CLINIC ARIZONA,222195,83056,305251
MAYO CLINIC ARIZONA,117773,7401,125174
MAYO CLINIC ARIZONA,894848,182435,1077283
MAYO CLINIC ARIZONA,130500,86130,216630
MAYO CLINIC ARIZONA,161119,103116,264235
MAYO CLINIC ARIZONA,238185,142911,381096
MAYO CLINIC ARIZONA,235000,150400,385400
MAYO CLINIC ARIZONA,188574,108948,297522
MAYO CLINIC ARIZONA,207038,132504,339542
MAYO CLINIC ARIZONA,235620,141372,376992
MAYO CLINIC ARIZONA,207500,136950,344450
MAYO CLINIC ARIZONA,443183,115100,558283
MAYO CLINIC ARIZONA,905854,208132,710071
MAYO CLINIC ARIZONA,235620,141372,376992
MAYO CLINIC ARIZONA,166850,13348,180198
MAYO CLINIC ARIZONA,189199,113519,302718
MAYO CLINIC ROCHESTER,249661,144054,393715
MAYO CLINIC ROCHESTER,292722,164720,457442
MAYO CLINIC ROCHESTER,205910,86147,292057
MAYO CLINIC ROCHESTER,1050000,84000,897597
MAYO CLINIC ROCHESTER,453825,92721,546546
MAYO CLINIC ROCHESTER,28125,16594,44719
MAYO CLINIC ROCHESTER,237500,137038,374538
MAYO CLINIC ROCHESTER,3700326,1644732,5345058
MAYO CLINIC ROCHESTER,296718,23737,320455
MAYO CLINIC ROCHESTER,360084,28807,385688
MAYO CLINIC ROCHESTER,465600,268651,734251
MAYO CLINIC ROCHESTER,350080,146024,496104
MAYO CLINIC ROCHESTER,333903,198883,532786
MAYO CLINIC ROCHESTER,203804,120244,324048
MAYO CLINIC ROCHESTER,493624,118059,611683
MAYO CLINIC ROCHESTER,289130,166828,455958
MAYO CLINIC ROCHESTER,28358,16731,45089
MAYO CLINIC ROCHESTER,350628,25890,302229
MAYO CLINIC ROCHESTER,217500,128325,345825
MAYO CLINIC ROCHESTER,952972,500287,1055550
MAYO CLINIC ROCHESTER,205200,104857,310057
MAYO CLINIC ROCHESTER,468377,152666,621043
MAYO CLINIC ROCHESTER,165515,84578,250093
MAYO CLINIC ROCHESTER,142800,84252,227052
MAYO CLINIC ROCHESTER,211094,113519,324613
MAYO CLINIC ROCHESTER,1697215,114281,1811496
MAYO CLINIC ROCHESTER,216068,124671,340739
MAYO CLINIC ROCHESTER,307695,177540,485235
MAYO CLINIC ROCHESTER,212500,108790,321290
MAYO CLINIC ROCHESTER,375139,177926,553065
MAYO CLINIC ROCHESTER,224229,129381,353610
MAYO CLINIC ROCHESTER,181281,104599,285880
MAYO CLINIC ROCHESTER,71400,42126,113526
MAYO CLINIC ROCHESTER,8160483,1577615,9738098
MAYO CLINIC ROCHESTER,368153,208469,576622
MAYO CLINIC ROCHESTER,166752,98384,265136
MAYO CLINIC ROCHESTER,196423,106389,302812
MAYO CLINIC ROCHESTER,484529,111193,595722
MAYO CLINIC ROCHESTER,161626,12930,174556
MAYO CLINIC ROCHESTER,1393642,756858,2150500
MAYO CLINIC ROCHESTER,366150,216029,582179
MAYO CLINIC ROCHESTER,195050,115080,310130
MAYO CLINIC ROCHESTER,52190,,52190
MAYO CLINIC ROCHESTER,166314,13305,129619
MAYO CLINIC ROCHESTER,214872,109646,324518
MAYO CLINIC ROCHESTER,402769,107573,510342
MAYO CLINIC ROCHESTER,155000,12400,167400
MAYO CLINIC ROCHESTER,49214,,49214
MAYO CLINIC ROCHESTER,365008,136565,501573
MAYO CLINIC ROCHESTER,297734,71772,1
MAYO CLINIC ROCHESTER,235620,120402,356022
MAYO CLINIC ROCHESTER,135160,10813,145973
MAYO CLINIC ROCHESTER,170279,87012,257291
MAYO CLINIC ROCHESTER,2133502,924712,3058214
MAYO CLINIC ROCHESTER,113750,8988,122738
MAYO CLINIC ROCHESTER,232650,134239,366889
MAYO CLINIC ROCHESTER,399387,90119,489506
MAYO CLINIC ROCHESTER,40932,,40932
MAYO CLINIC ROCHESTER,633362,111141,744503
MAYO CLINIC ROCHESTER,211517,123706,335223
MAYO CLINIC ROCHESTER,217125,125281,342406
MAYO CLINIC ROCHESTER,189199,96680,285879
MAYO CLINIC ROCHESTER,190353,109834,300187
MAYO CLINIC ROCHESTER,47232,,47232
MAYO CLINIC ROCHESTER,1435313,308332,1743645
MAYO CLINIC ROCHESTER,241462,16965,253138
MAYO CLINIC ROCHESTER,118374,68302,176112
MAYO CLINIC ROCHESTER,105925,62496,168421
MAYO CLINIC ROCHESTER,248162,146416,394578
MAYO CLINIC ROCHESTER,150001,12000,162001
MAYO CLINIC ROCHESTER,272210,21777,293987
MAYO CLINIC ROCHESTER,263412,108667,372079
MAYO CLINIC ROCHESTER,266439,157200,423639
MAYO CLINIC ROCHESTER,211094,121801,332895
MAYO CLINIC ROCHESTER,210182,107403,317585
MAYO CLINIC ROCHESTER,330000,190410,520410
MAYO CLINIC ROCHESTER,340858,171925,512783
MAYO CLINIC ROCHESTER,408840,129560,538400
MAYO CLINIC ROCHESTER,352194,189614,541808
MAYO CLINIC ROCHESTER,462964,37037,300001
MAYO CLINIC ROCHESTER,621281,366556,987837
MAYO CLINIC ROCHESTER,376689,217349,594038
MAYO CLINIC ROCHESTER,206872,119365,326237
MAYO CLINIC ROCHESTER,149088,8490,157578
MAYO CLINIC ROCHESTER,1290278,627924,1918202
MAYO CLINIC ROCHESTER,245401,85830,331231
MAYO CLINIC ROCHESTER,223010,81058,304068
MAYO CLINIC ROCHESTER,1151491,571216,1722707
MAYO CLINIC ROCHESTER,189199,96681,285880
MAYO CLINIC ROCHESTER,142800,84252,227052
MAYO CLINIC ROCHESTER,189199,109168,298367
MAYO CLINIC ROCHESTER,40932,,40932
MAYO CLINIC ROCHESTER,390546,189245,579791
MAYO CLINIC ROCHESTER,200385,88061,288446
MAYO CLINIC ROCHESTER,130932,59550,190482
MAYO CLINIC ROCHESTER,238000,137326,375326
MAYO CLINIC ROCHESTER,193725,111779,305504
MAYO CLINIC ROCHESTER,206872,119365,326237
MAYO CLINIC ROCHESTER,247002,133028,380030
MAYO CLINIC ROCHESTER,238000,140420,378420
MAYO CLINIC ROCHESTER,818837,414470,1233307
MAYO CLINIC ROCHESTER,33580,19812,53392
MAYO CLINIC ROCHESTER,602366,349344,951710
MAYO CLINIC ROCHESTER,150000,79031,229031
MAYO CLINIC ROCHESTER,215745,110244,325989
MAYO CLINIC ROCHESTER,188175,111023,299198
MAYO CLINIC ROCHESTER,238000,121618,359618
MAYO CLINIC ROCHESTER,195050,115080,310130
MAYO CLINIC ROCHESTER,136150,10892,147042
MAYO CLINIC ROCHESTER,248014,92914,340928
MAYO CLINIC ROCHESTER,4610620,1978242,5872026
MAYO CLINIC ROCHESTER,203148,103809,306957
MAYO CLINIC ROCHESTER,153500,12280,165780
MAYO CLINIC ROCHESTER,376753,123502,500255
MAYO CLINIC ROCHESTER,540396,318834,859230
MAYO CLINIC ROCHESTER,57826,30577,88403
MAYO CLINIC ROCHESTER,40932,,40932
MAYO CLINIC ROCHESTER,182551,93284,275835
MAYO CLINIC ROCHESTER,242587,123961,366548
MAYO CLINIC ROCHESTER,162518,83047,245565
MAYO CLINIC ROCHESTER,243878,116957,360835
MAYO CLINIC ROCHESTER,707,57,764
MAYO CLINIC ROCHESTER,839069,203144,1042213
MAYO CLINIC ROCHESTER,350819,202423,553242
MAYO CLINIC ROCHESTER,232650,118884,351534
MAYO CLINIC ROCHESTER,271148,138557,409705
MAYO CLINIC ROCHESTER,195942,113059,309001
MAYO CLINIC ROCHESTER,213750,126113,339863
MAYO CLINIC ROCHESTER,212058,108362,320420
MAYO CLINIC ROCHESTER,351654,199570,551224
MAYO CLINIC ROCHESTER,342295,196762,539057
MAYO CLINIC ROCHESTER,1,0,1
